"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal","166696.88","3263.99","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza","11130000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","11145111 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal","4068602.72","24.15","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11140000 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços","11145000 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","11145111 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal","18858.45","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11140000 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços","11145000 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","11145111 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal","4059328.41","324","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11140000 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços","11145000 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","11145111 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal","16156.84","48","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11140000 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços","11145000 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","11145111 - Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal","54634.97","11440.06","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11100000 - Impostos","11140000 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços","11145000 - Impostos sobre a Produção e Circulação de Mercadorias e Serviços","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","11210101 - Taxas de Inspeção, Controle e Fiscalização - Principal","1692.27","1308.05","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11200000 - Taxas","11210000 - Taxas pelo Exercício do Poder de Polícia","11210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","11210101 - Taxas de Inspeção, Controle e Fiscalização - Principal","963.9","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11200000 - Taxas","11210000 - Taxas pelo Exercício do Poder de Polícia","11210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","11210101 - Taxas de Inspeção, Controle e Fiscalização - Principal","2321.09","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11200000 - Taxas","11210000 - Taxas pelo Exercício do Poder de Polícia","11210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","11210101 - Taxas de Inspeção, Controle e Fiscalização - Principal","1170.45","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11200000 - Taxas","11210000 - Taxas pelo Exercício do Poder de Polícia","11210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","11210101 - Taxas de Inspeção, Controle e Fiscalização - Principal","4666.22","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11200000 - Taxas","11210000 - Taxas pelo Exercício do Poder de Polícia","11210000 - SEM SUBALINEA","501 | Outros Recursos não Vinculados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","11315101 - Contribuição de Melhoria para Expansão da Rede de Iluminação Pública na Cidade - Principal","41340.96","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11300000 - Contribuição de Melhoria","11310000 - Contribuição de Melhoria","11315000 - Contribuição de Melhoria para Expansão da Rede de Água Potável e Esgoto Sanitário","751 | Recursos da Contribuição para o Custeio do Serviço de Iluminação Pública - COSIP","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","11315101 - Contribuição de Melhoria para Expansão da Rede de Iluminação Pública na Cidade - Principal","43953.32","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11300000 - Contribuição de Melhoria","11310000 - Contribuição de Melhoria","11315000 - Contribuição de Melhoria para Expansão da Rede de Água Potável e Esgoto Sanitário","751 | Recursos da Contribuição para o Custeio do Serviço de Iluminação Pública - COSIP","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","11315101 - Contribuição de Melhoria para Expansão da Rede de Iluminação Pública na Cidade - Principal","44083.4","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11300000 - Contribuição de Melhoria","11310000 - Contribuição de Melhoria","11315000 - Contribuição de Melhoria para Expansão da Rede de Água Potável e Esgoto Sanitário","751 | Recursos da Contribuição para o Custeio do Serviço de Iluminação Pública - COSIP","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","11315101 - Contribuição de Melhoria para Expansão da Rede de Iluminação Pública na Cidade - Principal","44248","0","Lançamento de receita","10000000 - Receitas Correntes","11000000 - Impostos, Taxas e Contribuições de Melhoria","11300000 - Contribuição de Melhoria","11310000 - Contribuição de Melhoria","11315000 - Contribuição de Melhoria para Expansão da Rede de Água Potável e Esgoto Sanitário","751 | Recursos da Contribuição para o Custeio do Serviço de Iluminação Pública - COSIP","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","5279.76","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","710 | Transferência Especial dos Estados","3210 | Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","24.19","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","701 | Outras Transferências de Convênios ou Repasses dos Estados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","2197.05","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","1113.39","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","11733.49","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","95.42","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","569 | Outras Transferências de Recursos do FNDE","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","2335.11","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","540 | Transferências do FUNDEB - Impostos e Transferências de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","59522.55","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","4574.59","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","710 | Transferência Especial dos Estados","3210 | Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","507.14","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","701 | Outras Transferências de Convênios ou Repasses dos Estados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","1844.33","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","13291.89","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","9862.58","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","760.05","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","569 | Outras Transferências de Recursos do FNDE","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","6701.27","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","540 | Transferências do FUNDEB - Impostos e Transferências de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","50532.45","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","5597.7","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","710 | Transferência Especial dos Estados","3210 | Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","5103.69","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","701 | Outras Transferências de Convênios ou Repasses dos Estados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","2180.54","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","18677.88","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","11551.68","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","1244.97","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","569 | Outras Transferências de Recursos do FNDE","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","3474.04","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","540 | Transferências do FUNDEB - Impostos e Transferências de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","71761.54","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","5065.79","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","710 | Transferência Especial dos Estados","3210 | Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","1930.12","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","18728.58","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","7821.53","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","3109.11","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","569 | Outras Transferências de Recursos do FNDE","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","3484.26","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","540 | Transferências do FUNDEB - Impostos e Transferências de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","68617.84","3.59","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","500 | Recursos não vinculados de Impostos","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","5009.78","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","710 | Transferência Especial dos Estados","3210 | Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","369.75","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","701 | Outras Transferências de Convênios ou Repasses dos Estados","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","1875.63","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","3110 | Identificação das Transferências da União decorrentes de emendas parlamentares individuais"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","18039.59","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","660 | Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","5239.9","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","600 | Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde","0000 | "
"Curral de Cima","Prefeitura Municipal de Curral de Cima","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","2991.18","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","569 | Outras Transferências de Recursos do FNDE","0000 | "
