"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000002831414","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","283.141-4 ICMS DESON (APLICACAO)                            ","001","BCO DO BRASIL S.A.","010324","1396.54","0","0","1396.54","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000002831414","Conta Corrente","283.141-4 ICMS DESON                                        ","001","BCO DO BRASIL S.A.","010324","0","1.78","0","1.78","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000001800000","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","FOPAG TEMP (APLICACAO)                                      ","001","BCO DO BRASIL S.A.","010324","3030.38","0","3030.38","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000001800000","Conta Corrente - Fopag","FOPAG TEMP                                                  ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000112000X","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","PASEP/FOPAG (APLICACAO)                                     ","001","BCO DO BRASIL S.A.","010324","36.06","0","8.29","27.77","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","000000112000X","Conta Corrente - Fopag","PASEP/FOPAG                                                 ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000580147","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","58.014-7 FUS (APLICACAO)                                    ","001","BCO DO BRASIL S.A.","010324","1055.37","0","0","1055.37","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000580147","Conta Corrente","58.014-7 FUS                                                ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000294845","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","BSF C. ESTADUAL 405/2021 CONST. DE GINASIO APLICA           ","001","BCO DO BRASIL S.A.","010324","86769.12","4237.07","0","91006.19","08924037000118","Baixar","052026"
"Bonito de Santa Fé","Prefeitura Municipal de Bonito de Santa Fé","2026","0000000294845","Conta Corrente","BSF COVENIO ESTADUAL 405/2021 CONST. DE GINASIO             ","001","BCO DO BRASIL S.A.","010324","0","0","0","0","08924037000118","Baixar","052026"
