"Município","Unidade Gestora","Mês","Descrição","Valor Ajustado","Valor Estornado","Tipo","Categoria","Fonte","Subfonte","Alínea","Subalínea","Fonte de Recurso","CO"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","11 - Novembro","12150111 - CPSSS - Servidor Civil Ativo - Principal","144719.92","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","12 - Dezembro","12150111 - CPSSS - Servidor Civil Ativo - Principal","299198.98","0","Lançamento de receita","10000000 - Receitas Correntes","12000000 - Contribuições","12100000 - Contribuições Sociais","12150000 - Contribuição para o Plano de Seguridade Social do Servidor Público - CPSSS","12150000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","01 - Janeiro","13210101 - Remuneração de Depósitos Bancários - Principal","44257.6","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","02 - Fevereiro","13210101 - Remuneração de Depósitos Bancários - Principal","35588.96","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","03 - Março","13210101 - Remuneração de Depósitos Bancários - Principal","39515.78","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","04 - Abril","13210101 - Remuneração de Depósitos Bancários - Principal","10483.19","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","05 - Maio","13210101 - Remuneração de Depósitos Bancários - Principal","52261.52","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","06 - Junho","13210101 - Remuneração de Depósitos Bancários - Principal","14685.21","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","07 - Julho","13210101 - Remuneração de Depósitos Bancários - Principal","98642.37","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
"Bonito de Santa Fé","Instituto de Prev. dos Serv. Municipal Bonitense","08 - Agosto","13210101 - Remuneração de Depósitos Bancários - Principal","57429.52","0","Lançamento de receita","10000000 - Receitas Correntes","13000000 - Receita Patrimonial","13200000 - Valores Mobiliários","13210000 - Juros e Correções Monetárias","13210000 - SEM SUBALINEA","800 | Recursos vinculados ao RPPS - Fundo em Capitalização (Plano Previdenciário)","1111 | Benefícios previdenciários - Poder Executivo – Fundo em Capitalização (Plano Previdenciário)"
