"Município","Unidade Gestora","Ano","Nº da Conta","Tipo da Conta","Descrição da Conta","Código do Banco","Nome do Banco","Nº da Agência","Extrato","Débito","Crédito","Conciliado","no_key","Extrato","Mês/Ano"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000006240630","Conta Corrente","EST. DA REDE DE SERV. PAB                                   ","104","CAIXA ECONOMICA FEDERAL","004420","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000002831457","Conta Investimento - Fundo de Investimento","ICMS DESONERAÇÃO - APLICAÇÃO                                ","001","BCO DO BRASIL S.A.","00944X","547.16","0","0","547.16","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000002831457","Conta Corrente","ICMS DESONERAÇÃO - CONTA CORRENTE                           ","001","BCO DO BRASIL S.A.","000944","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000710384","Conta Investimento - Fundo de Investimento","TRIBUTOS APL                                                ","104","CAIXA ECONOMICA FEDERAL","000440","2369776.96","0","0","2369776.96","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000710384","Conta Corrente","TRIBUTOS - CC                                               ","104","CAIXA ECONOMICA FEDERAL","000440","0","119523.69","40878.71","78644.98","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000710155","Conta Investimento - Fundo de Investimento","FUNDEF PRECATÓRIO - INVESTIMENTO                            ","104","CAIXA ECONOMICA FEDERAL","000440","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000710155","Conta Corrente","FUNDEF PRECATÓRIO                                           ","104","CAIXA ECONOMICA FEDERAL","000442","0.01","0","0","0.01","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000519049","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata"," 51.904-9 SIGTV GND3                                        ","001","BCO DO BRASIL S.A.","00944X","217115.21","0","0","217115.21","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000519049","Conta Corrente","51.904-9   SIGTV GND3                                       ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518794","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51.879-4 CONV FDE Nº 065/2025                               ","001","BCO DO BRASIL S.A.","00944X","254391.52","0","0","254391.52","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518794","Conta Corrente","51.879-4 CONV FDE Nº 065/2025                               ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518662","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51.866-2 EMENDA SAUDE APLIC                                 ","001","BCO DO BRASIL S.A.","00944X","182076.85","0","0","182076.85","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518662","Conta Corrente","51.866-2 EMENDA SAUDE                                       ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518433","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51843-3 PROGRAMAS SOCIAIS - APLIC                           ","001","BCO DO BRASIL S.A.","021911","1860308.9","0","0","1860308.9","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000518433","Conta Corrente","51843-3 PROGRAMAS SOCIAIS CC                                ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000516414","Conta Investimento - Fundo de Investimento","C/A 51641-4 - EMENDA GND3 - APLICAÇÃO                       ","001","BCO DO BRASIL S.A.","00944X","210638.19","0","0","210638.19","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000516414","Conta Corrente","C/C 51641-4 - EMENDA GND3                                   ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000051442X","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51442-X FUNDEB APLIC                                        ","001","BCO DO BRASIL S.A.","00944X","218075","0","0","218075","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","000000051442X","Conta Corrente","51442-X FUNDEB                                              ","001","BCO DO BRASIL S.A.","00944X","0","405.24","0","405.24","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514306","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51430-6 EMENDA 02 SAÚDE APLIC                               ","001","BCO DO BRASIL S.A.","00944X","24036.99","0","0","24036.99","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514306","Conta Corrente","51430-6 EMENDA 02 SAÚDE                                     ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514292","Conta Investimento - Outras Aplicações Financeiras de Liquidez Imediata","51429-2 EMENDA 01 SAÚDE APLIC.                              ","001","BCO DO BRASIL S.A.","00944X","88700.46","0","0","88700.46","01612372000131","Baixar","052026"
"Curral de Cima","Prefeitura Municipal de Curral de Cima","2026","0000000514292","Conta Corrente","51429-2 EMENDA 01 SAÚDE                                     ","001","BCO DO BRASIL S.A.","00944X","0","0","0","0","01612372000131","Baixar","052026"
